name,item,price
4-H Chinese Culture Club,Bubble Tea,$6.00
4-H Chinese Culture Club,Ice Tea Brewed - like bubble tea,$5.00
4-H Chinese Culture Club,Milk Tea,$5.00
4-H Chinese Culture Club,Water,$2.00
4-H Chinese Culture Club,Soda,$2.00
4-H Chinese Culture Club,Fried Rice,$8.00
4-H Chinese Culture Club,Lo Mein,$8.00
4-H Chinese Culture Club,"Super Combo (Main, Spring Roll, Drink)",$14.00
4-H Chinese Culture Club,Ramune,$3.00
4-H Chinese Culture Club,Seaweed,$1.00
4-H Chinese Culture Club,Panda Cookies,$1.00
4-H Chinese Culture Club,Pocky Sticks,$3.00
4-H Chinese Culture Club,Spring Rolls,$3.00
4-H Prep,Cotton Candy,$5.00
4-H Arts Clubs - Clover Theatre,Muffin,$3.00
4-H Arts Clubs - Clover Theatre,Hot Tea,$2.00
4-H Arts Clubs - Clover Theatre,Hot Coffee,$2.00
4-H Arts Clubs - Clover Theatre,Iced Coffee,$4.00
4-H Arts Clubs - Clover Theatre,Blueberry Fresh Brewed Tea,$3.00
4-H Arts Clubs - Clover Theatre,Powdered Tea,$3.00
4-H Arts Clubs - Clover Theatre,Powdered Lemonade,$3.00
4-H Arts Clubs - Clover Theatre,Water,$2.00
Somerset County 4-H Association,Milk Shake,$6.00
Auryn Independent Performing Arts,Soda,$2.00
Auryn Independent Performing Arts,Water,$2.00
Auryn Independent Performing Arts,Walking Tacos,$5.00
Auryn Independent Performing Arts,Naco's ,$4.00
Auryn Independent Performing Arts,Watermelon,$4.00
Auryn Independent Performing Arts,Popcorn,$3.00
Auryn Independent Performing Arts,Pickle on a Stick,$3.00
Angelo's Pizzera,Plain Pizza,$5.00
Angelo's Pizzera,Pepperoni Pizza,$5.00
Angelo's Pizzera,Sausage Pizza,$5.00
Angelo's Pizzera,Pepper & Onions Pizza,$5.00
Angelo's Pizzera,Meatball Parm,$9.00
Angelo's Pizzera,Calzones,$9.00
Angelo's Pizzera,Water,$2.00
Angelo's Pizzera,Soda,$2.00
Boy Scout Troop 185,Arizona Ice Tea,$3.00
Boy Scout Troop 185,Soda,$2.00
Boy Scout Troop 185,Water,$2.00
Boy Scout Troop 185,Cheese Steaks,$9.00
Boy Scout Troop 185,Curly Fries,$4.00
Boy Scout Troop 185,Curly Fries w/ cheese,$5.00
Boy Scout Troop 156,Coffee,$2.00
Boy Scout Troop 156,Draft Birch Beer,$2.00
Boy Scout Troop 156,Birch Beer Float,$5.00
Boy Scout Troop 156,Iced Tea,$2.00
Boy Scout Troop 156,Soda,$2.00
