LTime,title,LLocation,time,endTime,tent,near,
WEDNESDAY,,,,,,,
10:00,Car Seat Inspection,Flying Field,2023-08-09T14:00:00.000Z,,flying-field,false,
10:00,Ribbon Cutting,Bridge,2023-08-09T14:00:00.000Z,,bridge,false,
10:00,Storytime,County Tent,2023-08-09T14:00:00.000Z,,somerset-county-government,false,
10:00,Small Animal Show,Small Animal Tent,2023-08-09T14:00:00.000Z,,small-animals,false,
10:00,Build a Cake Memory Game,Arts & Science Tent,2023-08-09T14:00:00.000Z,,arts-sciences,false,
10-12,Robotic Spin Art,Robotics tent,2023-08-09T14:00:00.000Z,2023-08-09T16:00:00.000Z,robotics,false,
10-2,Goat Show,Show Tent,2023-08-09T14:00:00.000Z,2023-08-09T18:00:00.000Z,show,false,
11:00,Pat McKinley - Songs for Children,Prep Tent,2023-08-09T15:00:00.000Z,,prep,false,
11:00,Butter Making with 4-H Master Chefs,County Tent,2023-08-09T15:00:00.000Z,,somerset-county-government,false, 
11:00,Archery Activity,Arts & Science Tent,2023-08-09T15:00:00.000Z,,arts-sciences,false,
11:00,Grooming Judging,Dog Show Tent,2023-08-09T15:00:00.000Z,,dog-show,false,
11:00,Coloring Pages,Arts & Science Tent,2023-08-09T15:00:00.000Z,,arts-sciences,false,
11-1,model airplane flying,Flying Field,2023-08-09T15:00:00.000Z,2023-08-09T17:00:00.000Z,flying-field,false,
11:30-12:30,Dirve a Buggy,RC Car track,2023-08-09T15:30:00.000Z,2023-08-09T16:30:00.000Z,rc-cars-track,false,
12:00,Master Chef's Smoothie Demo,Clover Theater,2023-08-09T16:00:00.000Z,,clover-theater-cafe,false,
12:00,The Green Planet Band - Classic Rock,Showmobile,2023-08-09T16:00:00.000Z,,showmobile-stage,false,
12:00,Make a George Washington Spyglass,County Tent,2023-08-09T16:00:00.000Z,,somerset-county-government,false,
12:00,Anime & Manga Drawing Workshop,Arts & Science Tent,2023-08-09T16:00:00.000Z,,arts-sciences,false,
12:00,Phydeaux's Flying Flea Circus,Fairgrounds,2023-08-09T16:00:00.000Z,,,false,
12:00,Junior Showmanship,Dog Show Tent,2023-08-09T16:00:00.000Z,,dog-show,false,
12:00,Operation Quiet Comfort,arts & Science Tent,2023-08-09T16:00:00.000Z,,arts-sciences,false,
1:00,Name That Food,Arts & Science Tent,2023-08-09T17:00:00.000Z,,arts-sciences,false,
1:00,Phydeaux's Flying Flea Circus,Prep Tent,2023-08-09T17:00:00.000Z,,prep,false,
1-3,Garden Tour & Walk to Bee Yard,4-H Garden & Bee Yard,2023-08-09T17:00:00.000Z,2023-08-09T19:00:00.000Z,garden-bees,false,
1-3,Racing,RC Car track,2023-08-09T17:00:00.000Z,2023-08-09T19:00:00.000Z,rc-cars-track,false,
1-3,Alumni meet up ,Clover Cafe,2023-08-09T17:00:00.000Z,2023-08-09T19:00:00.000Z,clover-theater-cafe,false,
1:15,Meet Betsy the Therapy Dog,County Tent,2023-08-09T17:15:00.000Z,,somerset-county-government,false,
1:30,4-H Magician's Guild Magic Show,Prep Tent,2023-08-09T17:30:00.000Z,,prep,false,
1:30,Puppet Show,Arts & Science Tent,2023-08-09T17:30:00.000Z,,arts-sciences,false,
2:00,Paper Fan Making,Arts & Science Tent,2023-08-09T18:00:00.000Z,,arts-sciences,false,
2:00,Hay Bale Yoga,County Tent,2023-08-09T18:00:00.000Z,,somerset-county-government,false,
2:00,Pool Noodle Pony Craft,Horse Tent,2023-08-09T18:00:00.000Z,,horses,false,
2:30,Jazzercise,Showmobile,2023-08-09T18:30:00.000Z,,showmobile-stage,false,
2:30,4-H Chinese Culture Club's Yo-Yo Team,Prep Tent,2023-08-09T18:30:00.000Z,,prep,false,
2:30,Switch a Handler,Dog Show Tent,2023-08-09T18:30:00.000Z,,dog-show,false,
3-7,Sheep Show,Show Tent,2023-08-09T19:00:00.000Z,2023-08-09T23:00:00.000Z,show,false,
